nome,usuario,curso,senha
AlineSouza,qowwjgf,tlpyxwp,184217
Zqlzviwc,mqtggia,kdubziu,167972
Cgxdumrh,bvvpffs,owtzyic,928981
Jhfajowv,vofplpg,xqgtjlk,975259
Dlrdyyiu,kyqdgwo,kysrmet,340138
Vpacmzju,yldaght,scnuoeb,991547
Knaoehdq,mirlkhh,bglldfv,151695
Hdzjbehg,dgcieim,zmsvepi,693622
Cxvcyvyu,jlrymhm,qevsvuy,126602
Iiyordrc,oxhxxqy,cgbdjvh,512272
Dwizmszo,wvxkybr,zibopqq,950364
Rznwllya,xpifror,wlsoozu,487973
Yydabmld,wnqnwyf,dxbhmkw,625923
Xebudkzo,khlwwjz,aziiycf,545816
Wxyguhim,pmxnztw,huznjqt,263729
Lbemgczz,cywsedx,agirdjt,961502
Lgmqzakn,jylcbul,yavnqya,971891
Vmkdtchi,spndwty,utvldtv,215650
Tojdiphq,ghsepda,zkrxtlm,294044
Yatyltck,fxsdycn,jdqfjju,320823
Wfmopmmb,urrtuhz,xfhjbwd,290900
Ecjjqdmh,xwltgml,mtryqba,825385
Assazafy,zucqjjl,dofkrav,974701
Jmxgibmg,gddbgfc,vgowwua,105122
Xnyktshu,pdpzjyq,sivoabx,974964
Egmujvlm,cvnuvlj,tmarpeb,963250
Dcsgwswb,kgntriy,jzqbzbp,853336
Mgrsykor,eqhgswx,yfbescp,116656
Tbghiyjn,chdxbiv,ekkvxpm,724929
Xllasedk,xlanfnn,pobquxc,637019
Zussmsjb,jptuvmp,ktilqay,464484
Mutgmmdb,levikif,wekqgqs,489557
Vzljmaka,poziljn,kqfnwsq,618892
Qtxfilda,gadjgim,fxnhohl,666770
Ttpksmbo,rvdgpcs,qogltoj,655770
Rabcmthp,jyncbvy,jswbkwu,128740
Burgyczt,giamzvi,djbsfxs,489226
Xfcqvbpk,ywgniuz,kviskea,142581
Evjmwdjh,aiblunn,rltcntb,839927
Yracqqsu,keyfsth,resgvis,869413
Mqvysacz,oeunskp,kxuwxem,700649
Qqxedrvk,qrdpobh,zmxkyve,576885
Fguplzhu,pzfqgbo,kcgqtxt,815924
Fnzqingb,cqlgyna,edczupg,162672
Qqqpdvcn,zrfzxdt,uvueewo,461546
Qviywzlo,ztkrlud,spvawsj,170106
Fbspetxd,hzulbpa,ldzrivc,542577
Eaezcaig,svihoye,vukyrlu,152664
Ykcuchar,yezwrmd,mupgqjr,205499
Qaozuaem,eagbczr,auyfqfd,109328
Yjwzfxtf,twdcfcx,pucdmdj,685829
Wmjbxtib,mszcsfn,glltzzq,336453
Mpoyxfof,hcyubvd,dpxwffr,751182
Qpftvkfu,olfticz,isxgnvr,585799
Tnbpgtix,awazart,ciburbc,287393
Ztbbsarc,khrshrj,pahtznv,984959
Gcntlxut,ouivndj,ahxmtzo,491562
Quhevtmu,sfynfww,ufemzsz,359308
Eajjeabt,ormgneh,ktoosfa,940940
Lyrinpvg,keksatm,gwcgvtz,714621
Cywmurgv,dcuryde,tygxehp,806463
Jdgxrajx,bsasajl,uywwglb,867503
Osedweql,cnzzexn,pwqttdn,686201
Ahrzzvjw,yvlzhke,yhjzrug,619762
Ncfyhiem,zdadapr,ucmnawb,966312
Bwvflnik,iowkxzb,whwujvh,728066
Prtluelq,dgveogi,jlfkyaq,695762
Pbfpnxym,yrmuopd,ntlwhhx,196970
Vftpgtvt,wmlyixc,ktdgnvx,394974
Jazvlkwz,ifyqvzf,gmqkykw,479302
Dyzfczbw,mnvwpgx,gzkntid,679677
Ouuesqvl,drmhnhl,vlkbdac,795363
Ggatdkhi,osxtezj,haexpig,105379
Kvfaeapo,pvrhwti,bzsewhe,238372
Lqksjnwh,qrkdmmm,dwhhfkm,183897
Bqegqinv,zjnhsth,cduzhda,244676
Ffnkovuc,gbybcwh,wcotbue,659648
Qhqbjxrc,ujoulhu,gtuvbjm,710476
Qhbkpwvo,fflporp,bojmolv,508567
Qzreiwwb,hqyraxe,astagoe,605755
Pvphyksd,jbibyct,bjeaupv,397163
Tmqscrwr,byiqmqp,qzqbttl,307594
Tkhfzoqv,ushlbrd,fplqlbe,991172
Uvhipdto,mkjtqjc,nevtidp,614950
Hqkyhlaq,qstcxnn,qyhgjvd,771898
Jpyjjxqz,whyefjc,soakuqw,394112
Zfusoupk,vhnmssu,arpbtis,111929
Kdjostjt,tjbokug,cydferj,669184
Krpcxckh,anncmud,rhuiksf,472598
Llomyltv,edjajhi,egqdetw,138397
Whzmjxjd,xvqnkah,ogkpyuv,887887
Wfynatyg,obpvaqz,frafyjm,670446
Dczsaytt,urebjmd,mxgmuzm,801203
Upupdsyz,ckiqphz,tjuvyxn,782522
Vbftfhgz,iveqkrf,jnorcad,166442
Imaqswdl,cwlgvzf,gstvjuf,858564
Daxnppdx,mqetcxt,acsltgv,964816
Ltpknlqv,uzrycfr,hqepczq,395948
Axnwfmms,laoopgz,ohvddmy,491008
Ahwaplnk,jetbmxz,paiedle,998715
Feslbdmv,gfcibxm,drluydb,779753
Phlqbvar,qxhumbl,insrlzr,197829
Fncoxkci,loegall,wzvjwkw,640632
Khhpuxhf,orbbbpu,eeieics,943544
Xmanobej,gocsrxf,alghxzs,628681
Zswpxsql,rkinpyb,ccbcetw,863924
Ifvghmje,gxbakwe,zfwltfh,729377
Pckkqxyi,lwwgcrk,zciebwa,707097
Nxotkzqf,ynnegcb,ocmowbc,670221
Jbniwwvn,orqlnkr,mzoqlpj,135995
Bxiezhcl,jphwxnr,ovifdua,236494
Dbcdacbr,pwjtqew,alkmkym,669246
Kwzcjjgm,tktedgv,rvzsalq,495597
Sbhrjxll,yydrjnb,ezrovqo,712289
Vbmjjaol,rxojsou,bpozcih,910201
Eedsfktt,obfcznl,lcqalwy,776824
Uoulfxqu,togrgnp,vqzqvha,913348
Shvnoixo,jjfqjvn,ljpfvnu,200644
Rbzhzlkl,laasnhq,wkoioms,449095
Bohllefk,xujsepz,agayznd,224463
Giyauccg,zkcgakv,cjzextg,726101
Ldgusrws,yphlhnb,kilhqjp,337633
Aopqjixn,zszpqnj,niulyne,202418
Lxfpksru,avszldq,vzqoecb,331768
Jbpptioy,ihvecif,zzmlfgf,528147
Lkigsoqs,pybjqjq,qppxtut,272488
Njfismbc,suqjwft,lvomfwz,631640
Wwuntieg,kqcfthk,jlefzdq,195721
Qnwvlwni,mlpjugo,wlnjatg,734595
Ierbhtso,xzaqlqp,dzzwanh,820909
Iiodnypz,sujqumi,vtzqnlw,317256
Xaeqrabn,qtzdzjk,jjaowmk,484044
Fkyqxyyt,tgghtwt,rsccszd,643959
Elgzlqnw,cxiproy,gjbhovv,541043
Zzvaucmg,anrqakp,mmklkvs,379041
Tzywpqkz,ucscnhh,gmypbbm,914843
Cfzckewd,mmckkjo,imrdxuq,210059
Apleqsbn,esrjfya,uijlqll,498737
Osgiqqjn,xwdmcae,ennvktb,875967
Ewposvkv,ytowbuf,oewhkfz,546700
Xmvjsgee,pdioues,ogdwbhz,596318
Pfovpavc,fcngnls,wcwynhh,563684
Svbcfubw,nvgynlo,ioaffvx,663234
Yvlxgqvg,uwubeif,rejniyk,702396
Iholygdv,uhdntcb,kerwhhi,194712
Kkceoorf,trxxvwj,gyjdqrh,625670
Yjtyeahr,potsrdr,kcepkis,676514
Dmprubzy,wkmmqll,zodlbdf,731991
Wspcvhzo,bxzccpf,cxnevff,909930
Xrkrgssu,dhoonap,ozqgbbw,643992
Dqdvtxoj,ctuhbkj,qfsgssc,983300
Obsglbnj,fyxkzzi,vjdakve,306684
Gnzoqmok,nhncjmu,yiiyiiy,642173
Kkafiwsz,lhfvvgb,gjenglj,775599
Aerwfuem,jrcosjm,yflduvz,356085
Itgwwvbf,lwdcdfj,vguyyfh,297559
Nxfoxznf,ljmsjok,bybiixy,150658
Lllufvlk,etxcqza,kqxkxfx,428980
Vftshrni,jhfzrza,eorpxcd,198675
Ypmskrdh,rwukdoo,mdwsvez,778403
Hoyrbcza,lczkwuc,kgrddgo,928377
Xvhpteqp,hwzwnhk,ofnsjju,910191
Yxurensn,qcpqzna,slcqcas,169888
Ilytzdzy,pozpekm,vnvqubr,530255
Oadtpuhz,tlamuwz,ouzuvvz,789603
Cqjurpkm,ajvikgl,xvrirmi,768206
Trhrwyrr,tuestob,dqqhsru,528626
Lcwwklwq,cvrndek,fzpqcal,691341
Lqdqkgji,fhtzmih,jhrolif,159844
Bkzmyxrt,zfdebyz,aqevzxp,245457
